algorithm,features,n_features,train_time,mem_max,roc_auc_ovr_weighted,f1_weighted,accuracy,confusion_matrix
QuadraticDiscriminantAnalysis(),"('petal_length', 'sepal_width', 'sepal_length')",3,11.533685099999985,3212.80078125,1.0,0.9665831244778613,0.9666666666666667,"[[10  0  0]
 [ 0 10  0]
 [ 0  1  9]]"
SVC(probability=True),"('petal_length', 'sepal_width', 'sepal_length')",3,23.39518929999999,3127.9765625,0.995,0.9333333333333333,0.9333333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"StackingClassifier(estimators=[('e1', QuadraticDiscriminantAnalysis()),
                               ('e2', SVC(probability=True)),
                               ('e3', LogisticRegression(n_jobs=-1))],
                   n_jobs=-1)","('petal_length', 'sepal_width', 'sepal_length')",3,18.440091300000006,3437.2265625,0.995,0.9326599326599326,0.9333333333333333,"[[10  0  0]
 [ 0 10  0]
 [ 0  2  8]]"
LogisticRegression(n_jobs=-1),"('petal_length', 'sepal_length')",2,14.231492100000025,3436.40625,0.9933333333333333,0.9333333333333333,0.9333333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
LogisticRegression(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,15.948991200000023,3434.75,0.9933333333333333,0.9333333333333333,0.9333333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
"VotingClassifier(estimators=[('e1', QuadraticDiscriminantAnalysis()),
                             ('e2', SVC(probability=True)),
                             ('e3', LogisticRegression(n_jobs=-1))],
                 n_jobs=-1)","('petal_length', 'sepal_width', 'sepal_length')",3,14.173576999999966,3434.90234375,0.9933333333333333,0.8997493734335841,0.9,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
KNeighborsClassifier(n_jobs=-1),"('petal_length', 'sepal_width')",2,16.254540700000007,3441.87890625,0.9800000000000001,0.8653198653198653,0.8666666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  3  7]]"
HistGradientBoostingClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,30.265164400000003,3432.96484375,0.9733333333333334,0.8997493734335841,0.9,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
KNeighborsClassifier(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,20.5226601,3120.140625,0.9633333333333335,0.8997493734335841,0.9,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
RandomForestClassifier(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,69.23383319999999,3222.73046875,0.9633333333333335,0.8653198653198653,0.8666666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  3  7]]"
AdaBoostClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,17.625169999999997,3209.0625,0.9633333333333333,0.8997493734335841,0.9,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
GaussianNB(),"('petal_length', 'sepal_width', 'sepal_length')",3,11.793782499999992,3211.1171875,0.95,0.7979797979797979,0.8,"[[10  0  0]
 [ 0  8  2]
 [ 0  4  6]]"
"XGBClassifier(base_score=None, booster=None, colsample_bylevel=None,
              colsample_bynode=None, colsample_bytree=None,
              enable_categorical=False, eval_metric='mlogloss', gamma=None,
              gpu_id=None, importance_type=None, interaction_constraints=None,
              learning_rate=None, max_delta_step=None, max_depth=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              n_estimators=100, n_jobs=None, num_parallel_tree=None,
              predictor=None, random_state=None, reg_alpha=None,
              reg_lambda=None, scale_pos_weight=None, subsample=None,
              tree_method=None, use_label_encoder=False,
              validate_parameters=None, verbosity=None)","('petal_length', 'sepal_width', 'sepal_length')",3,44.7664417,3436.46484375,0.9483333333333335,0.8653198653198653,0.8666666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  3  7]]"
AdaBoostClassifier(),"('petal_length', 'sepal_width')",2,16.70037960000002,3435.34375,0.9466666666666667,0.8294970161977834,0.8333333333333334,"[[10  0  0]
 [ 0  9  1]
 [ 0  4  6]]"
DecisionTreeClassifier(),"('petal_length', 'sepal_width')",2,15.266095899999982,3438.51171875,0.9450000000000001,0.8294970161977834,0.8333333333333334,"[[10  0  0]
 [ 0  9  1]
 [ 0  4  6]]"
GradientBoostingClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,19.181062099999963,3424.41796875,0.9416666666666667,0.8997493734335841,0.9,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
GaussianProcessClassifier(n_jobs=-1),"('petal_length', 'sepal_width', 'sepal_length')",3,17.1941858,3157.79296875,0.9083333333333333,0.8,0.8,"[[10  0  0]
 [ 0  7  3]
 [ 0  3  7]]"
DecisionTreeClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,15.6703538,3168.01171875,0.9,0.8653198653198653,0.8666666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  3  7]]"
"VotingClassifier(estimators=[('e1', QuadraticDiscriminantAnalysis()),
                             ('e2', SVC(probability=True)),
                             ('e3', LogisticRegression(n_jobs=-1))],
                 n_jobs=-1)","('sepal_width', 'sepal_length')",2,15.943929400000002,3436.51953125,0.8816666666666667,0.7306397306397306,0.7333333333333333,"[[10  0  0]
 [ 0  5  5]
 [ 0  3  7]]"
